facility_name,county,facility_type,flag_reason,deficiency_tag,deficiency_summary,survey_date,reported_nurse_hprd,state_mandated_hprd,casemix_expected_hprd,staffing_rating,md_license_number,cms_ccn,source_portal,source_url,scraped_at_utc
STERLING CARE FOREST HILL,Harford,SNF,below_casemix_expected_care_hours,,Reported nurse HPRD 3.946; state minimum 3.76; casemix expected 4.504; staffing rating 3.,,3.94645,3.76,4.50363,3,,215194,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
STERLING CARE RIVERSIDE,Harford,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.675; state minimum 3.76; casemix expected 4.572; staffing rating 2.,,3.67479,3.76,4.57204,2,,215233,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
CITIZENS CARE CENTER,Havre De Grace,SNF,insufficient_staffing_citation,0730,Observe each nurse aide's job performance and give regular training.,2024-05-07,,,,,,215039,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
LORIEN BULLE ROCK,Havre De Grace,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2022-06-28,,,,,,215359,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
ELLICOTT CITY HEALTHCARE CENTER,Howard,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.566; state minimum 3.76; casemix expected 3.826; staffing rating 4.,,3.56615,3.76,3.82640,4,,215160,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
LORIEN HEALTH SYSTEMS - COLUMBIA,Howard,SNF,below_casemix_expected_care_hours,,Reported nurse HPRD 4.148; state minimum 3.76; casemix expected 4.169; staffing rating 4.,,4.14796,3.76,4.16909,4,,215112,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
COMPLETE CARE AT HYATTSVILLE,Hyattsville,SNF,insufficient_staffing_citation,0730,Observe each nurse aide's job performance and give regular training.,2025-09-24,,,,,,215145,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
SACRED HEART HOME INC,Hyattsville,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2022-12-14,,,,,,21E009,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
WHITE OAK REHABILITATION AND NURSING CENTER,Hyattsville,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2025-04-29,,,,,,215024,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
Turtle Creek Rehabilitation and Wellness Center,Kensington,SNF,insufficient_staffing_citation,0947,"Ensure nurse aides have the skills they need to care for residents, and give nurse aides education in dementia care and abuse prevention.",2026-02-09,,,,,,215043,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
CHESTERTOWN NURSING AND REHAB,Kent,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.160; state minimum 3.76; casemix expected 4.227; staffing rating 2.,,3.16030,3.76,4.22697,2,,215260,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
RESORTS AT CHESTER RIVER MANOR CORP,Kent,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.597; state minimum 3.76; casemix expected 3.843; staffing rating 4.,,3.59653,3.76,3.84296,4,,215262,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
WILLOW BROOKE CT SKILLED CARE CTR AT HERON POINT,Kent,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.480; state minimum 3.76; casemix expected 3.626; staffing rating 4.,,3.47959,3.76,3.62602,4,,215235,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
GREEN ACRES NURSING AND REHAB,La Plata,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2026-01-20,,,,,,215106,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
FUTURE CARE CAPITAL REGION,Landover,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2026-01-30,,,,,,215364,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
DOCTORS COMMUNITY REHABILITATION AND PATIENT CARE,Lanham,SNF,insufficient_staffing_citation,0710,Obtain a doctor's order to admit a resident and ensure the resident is under a doctor's care.,2024-04-30,,,,,,215108,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT CHERRY LANE,Laurel,SNF,insufficient_staffing_citation,0730,Observe each nurse aide's job performance and give regular training.,2025-08-13,,,,,,215177,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT PATUXENT RIVER,Laurel,SNF,insufficient_staffing_citation,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",2026-04-13,,,,,,215141,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
CHESAPEAKE SHORES NURSING CENTER,Lexington Park,SNF,insufficient_staffing_citation,0730,Observe each nurse aide's job performance and give regular training.,2024-05-15,,,,,,215142,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
EGLE NURSING HOME,Lonaconing,SNF,insufficient_staffing_citation,0947,"Ensure nurse aides have the skills they need to care for residents, and give nurse aides education in dementia care and abuse prevention.",2025-10-09,,,,,,215307,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
ADVANCED REHAB AT AUTUMN LAKE HEALTHCARE,Lutherville,SNF,insufficient_staffing_citation,0728,"Ensure that nurse aides who have worked more than 4 months, are trained and competent; and nurse aides who have worked less than 4 months are enrolled in appropriate training.",2025-12-11,,,,,,215226,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT LONG VIEW,Manchester,SNF,insufficient_staffing_citation,0947,"Ensure nurse aides have the skills they need to care for residents, and give nurse aides education in dementia care and abuse prevention.",2025-12-01,,,,,,215017,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
OAKWOOD SNF LLC,Middle River,SNF,insufficient_staffing_citation,0725,Provide enough nursing staff every day to meet the needs of every resident; and have a licensed nurse in charge on each shift.,2026-03-03,,,,,,215181,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
"VILLA ROSA NURSING AND REHABILITATION, LLC",Mitchellville,SNF,insufficient_staffing_citation,0730,Observe each nurse aide's job performance and give regular training.,2024-05-31,,,,,,215350,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT ARCOLA,Montgomery,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.429; state minimum 3.76; casemix expected 3.817; staffing rating 3.,,3.42870,3.76,3.81700,3,,215014,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT CHEVY CHASE,Montgomery,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.346; state minimum 3.76; casemix expected 3.773; staffing rating 4.,,3.34581,3.76,3.77271,4,,215029,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT OAK MANOR,Montgomery,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.645; state minimum 3.76; casemix expected 4.254; staffing rating 3.,,3.64461,3.76,4.25436,3,,215315,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT OAKVIEW,Montgomery,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.551; state minimum 3.76; casemix expected 3.748; staffing rating 3.,,3.55114,3.76,3.74750,3,,215338,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT SILVER SPRING,Montgomery,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.354; state minimum 3.76; casemix expected 3.841; staffing rating 3.,,3.35364,3.76,3.84075,3,,215224,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
BROOKE GROVE REHAB. & NSG CTR,Montgomery,SNF,below_casemix_expected_care_hours,,Reported nurse HPRD 4.320; state minimum 3.76; casemix expected 4.348; staffing rating 4.,,4.32048,3.76,4.34790,4,,215200,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
CARRIAGE HILL BETHESDA,Montgomery,SNF,below_casemix_expected_care_hours,,Reported nurse HPRD 3.765; state minimum 3.76; casemix expected 4.034; staffing rating 4.,,3.76520,3.76,4.03413,4,,215234,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
COLLINGSWOOD REHABILITATION AND HEALTHCARE CENTER,Montgomery,SNF,below_casemix_expected_care_hours,,Reported nurse HPRD 4.113; state minimum 3.76; casemix expected 5.177; staffing rating 2.,,4.11292,3.76,5.17736,2,,215092,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
COMPLETE CARE AT SPRINGBROOK,Montgomery,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.347; state minimum 3.76; casemix expected 4.496; staffing rating 2.,,3.34715,3.76,4.49619,2,,215052,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
COMPLETE CARE AT WHEATON,Montgomery,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.447; state minimum 3.76; casemix expected 3.940; staffing rating 3.,,3.44662,3.76,3.94003,3,,215025,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
FAIRLAND CENTER,Montgomery,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.733; state minimum 3.76; casemix expected 6.003; staffing rating 1.,,3.73272,3.76,6.00295,1,,215015,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
FOX CHASE HEALTHCARE,Montgomery,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.295; state minimum 3.76; casemix expected 3.486; staffing rating 2.,,3.29516,3.76,3.48639,2,,215197,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
LAYHILL NURSING AND REHABILITATION CENTER,Montgomery,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.571; state minimum 3.76; casemix expected 4.359; staffing rating 2.,,3.57055,3.76,4.35850,2,,215168,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
MONTCARE AT BETHESDA,Montgomery,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.515; state minimum 3.76; casemix expected 4.368; staffing rating 3.,,3.51500,3.76,4.36761,3,,215095,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
MONTCARE AT POTOMAC,Montgomery,SNF,below_casemix_expected_care_hours,,Reported nurse HPRD 3.852; state minimum 3.76; casemix expected 4.257; staffing rating 4.,,3.85189,3.76,4.25663,4,,215171,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
MONTCARE AT WHEATON,Montgomery,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.695; state minimum 3.76; casemix expected 4.276; staffing rating 3.,,3.69502,3.76,4.27611,3,,215048,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
MONTGOMERY VILLAGE  CARE CENTER,Montgomery,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.534; state minimum 3.76; casemix expected 4.512; staffing rating 3.,,3.53376,3.76,4.51176,3,,215272,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
POTOMAC VALLEY REHABILITATION AND HEALTHCARE,Montgomery,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.420; state minimum 3.76; casemix expected 3.936; staffing rating 3.,,3.41965,3.76,3.93629,3,,215026,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
SHADY GROVE NURSING AND REHABILITATION CENTER,Montgomery,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.656; state minimum 3.76; casemix expected 4.102; staffing rating 3.,,3.65639,3.76,4.10162,3,,215164,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
SLIGO CREEK HEALTHCARE,Montgomery,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.358; state minimum 3.76; casemix expected 3.705; staffing rating 3.,,3.35772,3.76,3.70496,3,,215327,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
STERLING CARE BETHESDA,Montgomery,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.172; state minimum 3.76; casemix expected 3.764; staffing rating 2.,,3.17203,3.76,3.76417,2,,215187,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
STERLING CARE ROCKVILLE NURSING,Montgomery,SNF,below_casemix_expected_care_hours,,Reported nurse HPRD 3.986; state minimum 3.76; casemix expected 4.652; staffing rating 2.,,3.98561,3.76,4.65231,2,,215107,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
TUCKERMAN REHABILITATION AND HEALTHCARE CENTER,Montgomery,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.448; state minimum 3.76; casemix expected 5.371; staffing rating 3.,,3.44776,3.76,5.37105,3,,215320,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
Turtle Creek Rehabilitation and Wellness Center,Montgomery,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.303; state minimum 3.76; casemix expected 3.251; staffing rating 3.,,3.30335,3.76,3.25148,3,,215043,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
LORIEN HEALTH SYSTEMS MT AIRY,Mount Airy,SNF,insufficient_staffing_citation,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",2019-06-03,,,,,,215335,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
Mount Airy Nursing and Rehab Center,Mount Airy,SNF,insufficient_staffing_citation,0727,Have a registered nurse on duty 8 hours a day; and  select a registered nurse to be the director of nurses on a full time basis.,2023-05-02,,,,,,215268,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
DENNETT REHAB CENTER,Oakland,SNF,insufficient_staffing_citation,0725,Provide enough nursing staff every day to meet the needs of every resident; and have a licensed nurse in charge on each shift.,2024-11-20,,,,,,215216,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
OAKLAND NURSING & REHABILITATION CENTER,Oakland,SNF,insufficient_staffing_citation,0712,Ensure that the resident and his/her doctor meet face-to-face at all required visits.,2025-12-12,,,,,,215232,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
OAK CREST VILLAGE,Parkville,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2019-10-11,,,,,,215308,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT PIKESVILLE,Pikesville,SNF,insufficient_staffing_citation,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",2022-08-11,,,,,,215082,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
HARTLEY NURSING AND REHAB,Pocomoke City,SNF,insufficient_staffing_citation,0726,Ensure that nurses and nurse aides have the appropriate competencies to care for every resident in a way that maximizes each resident's well being.,2026-01-23,,,,,,215134,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
ADELPHI NURSING AND REHABILITATION CENTER,Prince Georges,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.598; state minimum 3.76; casemix expected 3.894; staffing rating 3.,,3.59822,3.76,3.89426,3,,215064,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT BRADFORD OAKS,Prince Georges,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.417; state minimum 3.76; casemix expected 4.008; staffing rating 1.,,3.41746,3.76,4.00850,1,,215165,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT CHERRY LANE,Prince Georges,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.541; state minimum 3.76; casemix expected 4.734; staffing rating 3.,,3.54058,3.76,4.73367,3,,215177,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT PATUXENT RIVER,Prince Georges,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.484; state minimum 3.76; casemix expected 4.207; staffing rating 2.,,3.48419,3.76,4.20730,2,,215141,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
COMPLETE CARE AT HYATTSVILLE,Prince Georges,SNF,below_casemix_expected_care_hours,,Reported nurse HPRD 4.009; state minimum 3.76; casemix expected 4.670; staffing rating 3.,,4.00924,3.76,4.66974,3,,215145,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
CRESCENT CITIES NURSING & REHABILITATION CENTER,Prince Georges,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.616; state minimum 3.76; casemix expected 4.202; staffing rating 3.,,3.61561,3.76,4.20161,3,,215323,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
DOCTORS COMMUNITY REHABILITATION AND PATIENT CARE,Prince Georges,SNF,below_casemix_expected_care_hours,,Reported nurse HPRD 3.800; state minimum 3.76; casemix expected 4.098; staffing rating 3.,,3.80000,3.76,4.09772,3,,215108,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
Forestville Rehabilitation and Wellness Center,Prince Georges,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.355; state minimum 3.76; casemix expected 3.522; staffing rating 2.,,3.35497,3.76,3.52243,2,,215020,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
FT Washington Rehabilitation and Wellness Center,Prince Georges,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.483; state minimum 3.76; casemix expected 3.659; staffing rating 3.,,3.48254,3.76,3.65937,3,,215146,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
FUTURE CARE CAPITAL REGION,Prince Georges,SNF,below_casemix_expected_care_hours,,Reported nurse HPRD 4.806; state minimum 3.76; casemix expected 5.435; staffing rating 4.,,4.80597,3.76,5.43476,4,,215364,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
FUTURE CARE PINEVIEW,Prince Georges,SNF,below_casemix_expected_care_hours,,Reported nurse HPRD 4.093; state minimum 3.76; casemix expected 5.330; staffing rating 3.,,4.09330,3.76,5.32964,3,,215328,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
Hidden Waters Rehabilitation and Wellness Center,Prince Georges,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.561; state minimum 3.76; casemix expected 3.156; staffing rating 4.,,3.56084,3.76,3.15631,4,,215231,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
LARGO NURSING AND REHABILIATION CENTER,Prince Georges,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.078; state minimum 3.76; casemix expected 4.471; staffing rating 2.,,3.07807,3.76,4.47059,2,,215331,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
LARKIN CHASE CENTER,Prince Georges,SNF,below_casemix_expected_care_hours,,Reported nurse HPRD 3.928; state minimum 3.76; casemix expected 4.452; staffing rating 3.,,3.92764,3.76,4.45236,3,,215264,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
STERLING CARE HILLHAVEN,Prince Georges,SNF,below_casemix_expected_care_hours,,Reported nurse HPRD 4.027; state minimum 3.76; casemix expected 4.802; staffing rating 1.,,4.02697,3.76,4.80153,1,,215212,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
"VILLA ROSA NURSING AND REHABILITATION, LLC",Prince Georges,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.453; state minimum 3.76; casemix expected 3.748; staffing rating 3.,,3.45327,3.76,3.74824,3,,215350,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
WHITE OAK REHABILITATION AND NURSING CENTER,Prince Georges,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.538; state minimum 3.76; casemix expected 3.996; staffing rating 3.,,3.53769,3.76,3.99611,3,,215024,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
MANOKIN NURSING AND REHAB,Princess Anne,SNF,insufficient_staffing_citation,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",2025-09-26,,,,,,215179,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
Complete Care at Corsica Hills LLC,Queen Annes,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.445; state minimum 3.76; casemix expected 3.788; staffing rating 3.,,3.44517,3.76,3.78822,3,,215114,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
CHAPEL HILL NURSING CENTER,Randallstown,SNF,insufficient_staffing_citation,0947,"Ensure nurse aides have the skills they need to care for residents, and give nurse aides education in dementia care and abuse prevention.",2025-01-16,,,,,,215220,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
FUTURE CARE OLD COURT,Randallstown,SNF,insufficient_staffing_citation,0730,Observe each nurse aide's job performance and give regular training.,2024-12-12,,,,,,215118,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
PATAPSCO HEALTHCARE,Randallstown,SNF,insufficient_staffing_citation,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",2024-09-30,,,,,,215084,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
FUTURE CARE CHERRYWOOD,Reisterstown,SNF,insufficient_staffing_citation,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",2023-06-06,,,,,,215192,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT CALVERT MANOR,Rising Sun,SNF,insufficient_staffing_citation,0725,Provide enough nursing staff every day to meet the needs of every resident; and have a licensed nurse in charge on each shift.,2025-04-02,,,,,,215189,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
